name,price,description,stock,image,keyword,category
Kerala Ayurveda Liposem Cholestrol Control Tablets ,550,Liposem is known as the best Ayurvedic medicine for cholesterol. Taking this supplement can help you maintain cholesterol levels and help optimize good cholesterol levels. This can help in maintaining good levels of blood pressure and helps protect the blood vessels.,80,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440143028_Kerala Ayurveda Liposem Cholestrol Control Tablets .png?alt=media&token=image,"high cholesterol  level,Kerala Ayurveda Liposem Cholestrol Control Tablets ,cloestrol controll tablet ",627cae4b412fc0e68820c48f
Shuddhi Lipi Capsule,1500,"Shuddhi Divya Lipi Capsule is an ayurvedic medicine that is primarily used for the treatment of Heart Disease, High Blood Pressure, High Cholesterol. Secondary and off-label uses of Shuddhi Divya Lipi Capsule have also been mentioned below. The key ingredients of Shuddhi Divya Lipi Capsule are Guggul, Triphala",70,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440161450_Shuddhi Lipi Capsule.jpg?alt=media&token=image,"high cholesterol  level,Shuddhi Lipi Capsule,control cholestrol ,colestrol",627cae4b412fc0e68820c48f
Kapiva Cholest Fit Capsules,299," Kapiva Cholest Fit Capsules have been formulated to guard against cardiovascular problems by regulating your cholesterol level. Enriched with herbal ingredients such as Guggulu, Lahsun and Arjun Chhal, it lowers the bad cholesterol in the body to promote heart health.",30,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440178736_Kapiva Cholest Fit Capsules.jpg?alt=media&token=image,"high cholesterol  level,Kapiva Cholest Fit Capsules,colestroll",627cae4b412fc0e68820c48f
Baidyanath Rumartho Gold Plus Capsule,481,"Baidyanath Rumartho Gold Plus Capsule is formulated to relieve the chronic joint pains of hands, feet, hips & knee. It works at the root cause of pain inside the body and relieves the pain effectively. It is used in the treatment of Rheumatoid arthritis and osteoarthritis.",50,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440204748_Baidyanath Rumartho Gold Plus Capsule.png?alt=media&token=image,"Baidyanath Rumartho Gold Plus Capsule,jodo ka dard ,jakadan,sujan",627cadc6412fc0e68820c487
Dr. Uri Capsule,315,"Ayurvedic Medicine-Dr Uri is a unique Ayurvedic medicine (capsules) which controls uric acid, relieves joint pain,reduces swelling with no side effect. Ayurvedic Medicine Dr. Uri is strong stimulant and is used for both respiratory and digestive system, obesity (excessive fats), edema, slow metabolism,gastric mucosa.",60,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440222086_Dr. Uri Capsule.jpg?alt=media&token=image,"Dr. Uri Capsule,jodo ka dard ,jakadan,sujan ki davai",627cadc6412fc0e68820c487
Erand Pak,141,Baidyanath Erand Pak is an ayurvedic medicine that is primarily used for the treatment of Rheumatoid Arthritis. Secondary and off-label uses of Baidyanath Erand Pak have also been mentioned below.,60,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440237675_erand pak.jpg?alt=media&token=image,"Erand Pak,jodo ka dard ,jakadan,sujan",627cadc6412fc0e68820c487
SUNOVA ANTI-STRESS,840,"Sunova Anti-Stress Capsule is an all-natural stress reliever capsules that helps combat stress, keeping you stay calm and focused throughout. The capsules contain Ashwagandha that is well known for stress resistance, memory enhancement, energy rejuvenation, sexual function, and strength.",50,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440266404_SUNOVA ANTI-STRESS.jpg?alt=media&token=image,"SUNOVA ANTI-STRESS,mental health problem,mansik bimari,tention,stress,depression, tesion davai",627cad2b412fc0e68820c482
Nisarga Herbs-usha,990,"Nisarga Herbs Usha Veggie Caps made using time-tested and proven herbs, is a product that will assist you in maintaining high energy levels throughout the day helping you overcome stress naturally, the ayurvedic way",30,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440287387_Nisarga Herbs-usha.webp?alt=media&token=image,"Nisarga Herbs-usha,mental health problem,mansik bimari,tention,stress,depression,tension ,stress ki davai ",627cad2b412fc0e68820c482
Cureveda Stress Relief Oil,612,"Cureveda Revitalizing Stress relief oil is a unique combination of traditional herbs Brahmi, Jatamansi, Shankhpushpi that helps to relax the body and mind, improve cognitive ability & concentration.",100,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440306071_Cureveda Stress Relief Oil.jpg?alt=media&token=image,"Cureveda Stress Relief Oil,mental health problem,mansik bimari,tention,stress,depression,stress ki davai",627cad2b412fc0e68820c482
Narayana Kalpa - Stress Reliever,150,"Sri Sri Tattva Narayana Kalpa- Stress Reliever Tablet is a very effective ayurvedic medicine which improves management of anxiety, depression, insomnia, stress, restlessness and similar conditions. It also helps in the management of blood pressure and promotes overall cardiovascular health.",90,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440322712_Narayana Kalpa - Stress Reliever.webp?alt=media&token=image,"Narayana Kalpa - Stress Reliever,mental health problem,mansik bimari,tention,stress,depression",627cad2b412fc0e68820c482
Dizester Herbal,100,"It is a syrup-based Herbal tonic for digestion that helps to relieve symptoms of indigestion and other related digestive disturbances. The constituents of Dizester Herbal tonic have antispasmodic and carminative, diuretic, anti-inflammatory properties and it protects the gastric mucosa.",75,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440385067_Dizester Herbal.jpg?alt=media&token=image,"Dizester Herbal,stomach problem,pet ki problem,pachan problem,gas problem,acidity ki davai ,acidity,hyperacidity",627cade9412fc0e68820c489
Cureveda Digest Elixir,360,"Cureveda Digest Elixir is an ayurvedic medicine that is primarily used for the treatment of Acidity, Stomach Gas. Secondary and off-label uses of Cureveda Digest Elixir have also been mentioned below",35,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440366694_Cureveda Digest Elixir.jpg?alt=media&token=image,"Cureveda Digest Elixir,gas problem,stomach problem,pet ki problem,pachan problem,acdity problem",627cade9412fc0e68820c489
Zandu Pancharistha,140,"Zandu Pancharista is the perfect solution for all your digestive problems. Formulated with the goodness of 35 potent Ayurvedic herbs, it gives relief from indigestion, gas, acidity, flatulence and constipation. It works from the roots to boost digestive immunity and appetite. 30ml twice daily.

",100,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440348560_Zandu Pancharistha.webp?alt=media&token=image,"Zandu Pancharistha,,gas problem,stomach problem,pet ki problem,pachan problem,acidty problem,acidity davai",627cade9412fc0e68820c489
Maharishi Ayurveda dizomap,180,Maharishi Ayurveda Dizomap is an ayurvedic formulation that helps keep your digestive system healthy by promoting digestive fire in the stomach that is responsible for metabolising food.,150,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440413331_Dizomap.jpg?alt=media&token=image,"Maharishi Ayurveda dizomap,gas problem,stomach problem,pet ki problem,pachan problem,acdity problem",627cade9412fc0e68820c489
gynoveda neemache,699,"Blood toxins and impurities is the main cause of acne. Cystic, pus-filled acne can leave scars and marks on your face, affecting confidence. Gynoveda Anti Acne Blood Purifier helps to reduce active cystic, pus-filled acne, pimples by flushing out blood toxins. It controls pus formation by absorbing excessive heat in the blood. Helps reduce acne marks, scars, black spots. It is useful for different types of acne on cheeks due to oily skin, near jawline due to hormonal imbalance, on forehead due to dandruff, hair problems. It is a 100% Ayurvedic formula made with 15 clinically tested herbs.",120,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440493455_gynoveda neemachne.jpg?alt=media&token=image,"gynoveda neemache,pimple,acne,skin problem,funshi,phunsi ki davai",627cae14412fc0e68820c48b
surakta,95,"Baidyanath Surakta is an ayurvedic syrup that is used to reduce acne, pimples and aid from other skin issues as well as to improve the natural radiance of the skin from within. It is also used for detoxification of the liver and in the correction of auto-immunity.",130,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440477270_Surakta.jpg?alt=media&token=image,"surakta,pimple,acne,skin problem,funshi , phunsi phode",627cae14412fc0e68820c48b
pimpcare syrup ,82,"Pimpcare Syrup is an Ayurvedic Syrup that Use for Removes Acne, Pimples and Also purifies Blood. Purifies Blood and eliminates toxic materials out of the body. Removes under Eye circle , wrinkles and age spots.",140,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440461919_pimpcare syrup.jpg?alt=media&token=image,"pimpcare syrup ,pimple,acne,skin problem,funshi",627cae14412fc0e68820c48b
safi,220,"Safi is an Unani medicine which claims to be a blood-purifier. It is produced by Hamdard Laboratories (Waqf) in Ghaziabad India, as well as in Pakistan and in Bangladesh. According to the package, it ""corrects the digestive system, relieves constipation, prevents and cures boils, pimples, and skin eruptions.""",50,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440444544_safi.jpg?alt=media&token=image,"safi,pimple,acne,skin problem,funshi ,khun saf",627cae14412fc0e68820c48b
cart fit,399,Cart-fit tablets this formula is designed for knee cartilage damage pain,40,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440516798_cart fit.jpg?alt=media&token=image,"cart fit,bones problem,Ankylosing spondylitis , cartilage ,ghatiya ,ghutne dard , kartilge,gathiya",627cae62412fc0e68820c491
majoon sahar,260, Majoon Sara is a medicine which is useful in convulsion in adult and children as well. It gives the strength to the brain and nervous system. It is beneficial in fits and decreased the episodes of fits gradually.,30,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440531248_majoon sahar.png?alt=media&token=image,"majoon sahar,bones problem,Ankylosing spondylitis ,hadiyo me dard",627cae62412fc0e68820c491
"healer kit
",8000,"This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 Hit Points, without needing to make a Wisdom (Medicine) check.",100,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440559559_Ankylosing Spondylitis Healer Kit.png?alt=media&token=image,"healer kit,bones problem,Ankylosing spondylitis ,haddi,hadi",627cae62412fc0e68820c491
ankylocare,720,"Ankylocare Capsule naturally helps in the maintenance of healthy joints and keeps the body flexible. It is a product that stops fusion of the joints in case of Ankylosing spondylitis, strengthens muscles, improves flexibility and removes inflammation from your joints.",45,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440581512_ankylocare.jpg?alt=media&token=image,"ankylocare,bones problem,Ankylosing spondylitis ,haddi",627cae62412fc0e68820c491
Strong Joint - Ayurveda One,300,"Strong joint has herbs that reduces inflammation in the joints, increases blood supply to the connective tissues and helps in protecting the cartilages as well as it helps in increasing the lubrication of the joint.",80,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442566030_Strong joint.jpg?alt=media&token=image,"Strong Joint - Ayurveda One,back pain,pit ka dard,back me dard,bone pain,haddi ",627cae62412fc0e68820c491
fitback capsules,299,"Shushen Herbal Fitback capsules is prepared from potent ayurvedic ingredients like Parijat pusp, Godanti Bhasma, Yograaj guggul, Ekangveer and Vaatgajankush ras etc. which relieves in various pains caused by vata dosha.
Reduce the rheumatic and lumber pain in our body",40,,"fitback capsules,back pain,pit ka dard,back me dard,bone pain , haddi ",627cae62412fc0e68820c491
vishamushti vati,110,VISHAMUSHTI VATI by SDM is an ayurvedic medicine which is an excellent analgesic and anti-inflammatory,30,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440614666_VISHAMUSHTI VATI .jpg?alt=media&token=image,"vishamushti vati,back pain,pit ka dard,back me dard,bone pain",627cae62412fc0e68820c491
baidyanath Madhumehari,153,"Baidyanath Madhumehari Yog Tablet contains Trivang Bhasma, Gudmar Patra, Neem Patra, Jamun Guthali, Shudha Shilajeet, Swarna Bhasma as active ingredients. It controls the blood sugar level and provides relief in excessive thirst and urination problems.",59,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441366006_baidyanath_madhumehari.jpg?alt=media&token=image,"baidyanath Madhumehari,diabetes,sugar,madhumeh,mithe ki bimari,sugar ,sugar ki bimari ,sugar ki davai",627cae31412fc0e68820c48d
madhumeha sugar nash,80,Helps to stop sugar craving. Helps to maintains healthy blood sugar level that is already within normal limits. Helps to maintains optimum body weight and optimizes many body functions. Helps to balance the healthy sugar level.,54,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441343968_madhumeha sugar nash.jpeg?alt=media&token=image,"madhumeha sugar nash,diabetes,sugar,madhumeh,mithe ki bimari,sugar davai",627cae31412fc0e68820c48d
diabecon ds,178,"Himalaya Diabecon DS Tablet contains a unique combination of Gymnema (Meshashringi), Indian Kino Tree (Pitasara), and Shilajeet. Gymnema helps to reduce excessive blood sugar in the body. It stimulates the production and activity of insulin.",34,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441381022_diabecon ds.jpg?alt=media&token=image,"diabecon ds,diabetes,sugar,madhumeh,mithe ki bimari,diabeties ki davai ,sugar davai",627cae31412fc0e68820c48d
dybestex,565,"Dybestex Liquid (Sugar Control Syrup) is a unique formulation of Gudmar, Karela, Amla, Jambu Seeds, Bivala, Guduchi, Mamejawa, Belpatra, Haldee, and Trikatu. It has carminative, electrolyte balancing, anti-diabetic, antilipidemic, antioxidant, rejuvenating and hypoglycemic properties. Jambu, Karela, Gudmar, and Mamejawa helps in blood sugar management effectively. ",43,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441393221_dybestex.PNG?alt=media&token=image,"dybestex,diabetes,sugar,madhumeh,mithe ki bimari,sugar ",627cae31412fc0e68820c48d
depcalm,600,"It is also very useful in anxiety, apathy, sleep disturbances, insomnia, anorexia, and feeling of worthlessness.Also, it may help to induce a feeling of calm, diminishes over sensitivity, improves mood, enhance well being and sociability, relieves pain, fatigue and also improve mental alertness.",30,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441465622_depcalm.jpg?alt=media&token=image,"depcalm,depression,anxiety,tention,chinta,preshani,pressure,",627cad2b412fc0e68820c482
manasamitram gulika,1325,"Used in the treatment of insomnia, depression, anxiety, autism, cerebral palsy and epilepsy. Disorders commonly found in children with autism, cerebral palsy and epilepsy are also treated well with this special medicine.",90,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441441705_manasamitram-gulika.jpg?alt=media&token=image,"manasamitram gulika,,depression,anxiety,tention,chinta,preshani,pressure",627cad2b412fc0e68820c482
calmhills,275,"Calmhills is an Ayurvedic formulation of Ashwagandha, Brahmi, Shankhpushpi, Jatamansi, Mandukparnee, Ajwain, Pippali. This supplement exerts antistress, neuroprotective and analgesic properties",70,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441414779_calmhills.jpg?alt=media&token=image,"calmhills,depression,anxiety,tention,chinta,preshani,pressure",627cad2b412fc0e68820c482
easecalm,550,"*Eascalm Tablet* helps in Anxiety & Depression sleep. Promotes normal functioning of nervous system. Acts as brain tonic, stress reliever and mild sedative. Relieves mind and promotes sleep.",150,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441486839_EASECALM.jpeg?alt=media&token=image,"easecalm,depression,anxiety,tention,chinta,preshani,pressure",627cad2b412fc0e68820c482
Rhumasyl,220,Zandu Rhumasyl is a powerful and safe natural ayurvedic rubefacient. Rhumasyl has prompt transdermal penetration and quick vasodilation and hence it is a potent and powerful muscle relaxant. Relief of musculoskeletal pain and stiffness.,87,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441594168_rhumasyl.jpg?alt=media&token=image,"Rhumasyl,frozen sholder,kandhe ka dard,back pain,gardan dard",627cae62412fc0e68820c491
prasarnyadi-kashayam,38,PRASARINYADI KASHAYAM TABLETS by AVN AYURVEDA FORMULATION is an ayurvedic herbal medicine which is used to treat joint pains and to remove stiffness and increase flexibility.,23,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441578915_Prasaranyadi-Kashayam.jpg?alt=media&token=image,"prasarnyadi-kashayam,frozen sholder,kandhe ka dard,back pain,gardan dard",627cae62412fc0e68820c491
cart fit,399,"It acts as an analgesic, antacid, antipyretic, antiseptic, anti-inflammatory, diuretic, diaphoretic and nervine tonic. It is also a muscle relaxant and antioxidant.",90,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441553576_cart fit.jpg?alt=media&token=image,"cart fit,frozen sholder,kandhe ka dard,back pain,gardan dard",627cae62412fc0e68820c491
super maya massage oil,324,"Super Maya JEHOVAH Pain Relief Products are made from the blend of age-old ayurvedic ingredients which helps to get relief from pain and the combined effect of the purest novel herbs in it can relief from Knee pain, Joint pains, Back pain, Neck pain, Shoulder pain and other Neuromuscular pains.",30,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441613517_super maya massage oil.jpg?alt=media&token=image,"super maya massage oil,frozen sholder,kandhe ka dard,back pain,gardan dard",627cae62412fc0e68820c491
varanadi kashaya,240,Varanadi kashaya is an adaptation of the 'varanadi gana' consisting of a group of drugs which balance the kapha and vata elements in the body. Together the drugs clear obstructed channels and facilitates unobstructed movement of vata and body fluids.,56,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441644503_Varanadi-Kashayam.jpg?alt=media&token=image,"varanadi kashaya,motapa dna,mota hona,charbi bdna,pet bdna,weight loss medicine",627cae7a412fc0e68820c493
ayurslim,214,Himalaya Wellness AyurSlim Capsule is formulated to slow down the body's ability to store fat. The ingredients used in the product help in healthy weight reduction and limit fat production. It also helps to remove impurities and detoxifies the body.,34,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441661666_ayurslim.png?alt=media&token=image,"ayurslim,motapa dna,mota hona,charbi bdna,pet bdna,weight loss medicine",627cae7a412fc0e68820c493
ayursun-komla,740," Best Weight Reducer And It Shpes The Structure Of The Body � A Fat Body Is A Museum Of Many Disease. The Slim Body Keep Most Of The Vital Disease Away As It Is Said In Ayurveda That ""Karshyam Varam Sthloyam "" Means To Be Thin Better Than To Be Fat.",45,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441678942_Ayursun-Komla.jpg?alt=media&token=image,"ayursun-komla,mota hona,charbi bdna,pet bdna,weight loss medicine",627cae7a412fc0e68820c493
obis-30 capsule,95,OBIS 30 CAPSULE by ALOPA HERBAL is an ayurvedic proprietary medicine for obesity. Obesity is a burning issue and people are eager for the best medicine to help with. It increases fat metabolism and helps to have an optimum lipid level in the body. It acts as a diuretic and removes the excess fluid accumulation.,79,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441696075_obis-30-capsule.jpg?alt=media&token=image,"obis-30 capsule,mota hona,charbi bdna,pet bdna,weight loss medicine",627cae7a412fc0e68820c493
cardorium plus,450,"CARDORIUM PLUS by ALAKANAND HERBALS is an ayurvedic proprietary medicine primarily for dyslipidemia and atherosclerotic disease. It is known to be effective in treating various diseases like diabetes, hypertension, vascular dysfunctions.",67,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441741838_cardorium-plus.png?alt=media&token=image,"cardorium plus,chest pain,chat me dard,sina dard ",627cae4b412fc0e68820c48f
cardicare SGC,625,Cardicare SGC keeps the heart healthy by increasing ATP production in cardiac muscles and protects it by modulating oxidative stress and inflammatory response.,90,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441723708_cardicare-sgc.jpg?alt=media&token=image,"cardicare SGC,chest pain,chat me dard,sina dard ",627cae4b412fc0e68820c48f
Mahashankh vati,60,"Helps towards a proper digestive system and helpful in the treatment of acidity
Helpful in the treatment of constipation
Supports in the treatment of digestive diseases like bloating, indigestion, and flatulence",190,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441755618_Mahashankh vati.jpg?alt=media&token=image,"Mahashankh vati,chest pain,chat me dard,sina dard ",627cae4b412fc0e68820c48f
planet Ayurveda Curcumin capsules,1350,"Planet Ayurveda Curcumin Capsule is packed with the standardized extract of curcumin, a principal compound of turmeric. Curcumin is a diarylheptanoid which helps to maintain healthy cells, tissue, and immune system. Curcumin supports healthy blood circulation so maintains healthy skin.",200,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441769746_planet_ayurveda_curcumin_capsules.jpg?alt=media&token=image,"planet Ayurveda Curcumin capsules,chest pain,chat me dard,sina dard ",627cae4b412fc0e68820c48f
