name,price,description,stock,image,keyword,precaution,ingredients,uses,category
AyuLite  Liver Tonic  Hepatitis and Jaundice,1190,"Ayulite is a herbal combination that heals, protects, tones and strengthens the liver functioning for better absorption and purification of blood",81,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295028903_12AyuL.webp?alt=media&token=image,"AyuLite  Liver Tonic  Hepatitis and Jaundice, jaundice medicine, jaundice ki dawa, jaundice ka ilaaj",Store in a cool dry place below 250C Ayurvedic Proprietary Medicine,"Andrographis paniculata extract, Tecoma undulata, Tephrosia purpurea extract, Phyllanthus niruri extract, Eclipta alba extract, Holarrhena antidysenterica, Glycyrrhiza glabra, Fumaria parviflora extract, Tinospora cordifolia, Hedychium spicatum, Boerhaavia diffusa",2 Capsules 2 times daily,628b7d5d2f61643132a89b1f
"Patanjali Ayurveda Giloy Ghan Vati 60 Tablets, common cold high cholesterol hepatitis jaundice liver disorders skin and urinary disorders",95,Assists in improving memory and boost intelligence.Enhance cognitive functions.The rejuvenating feature of giloy is known to improve life expectancy,130,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295057104_13Patanjali .jpg?alt=media&token=image,"Patanjali Ayurveda Giloy Ghan Vati 60 Tablets, common cold high cholesterol hepatitis jaundice liver disorders skin and urinary disorders, jaundice medicine, jaundice ki dawa, jaundice ka ilaaj","Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach and sight of children","giloy,  Saffron crocus, Camphor, Indian ironwood, Bitumen, RocksaIt, Cardamom, Licorice","Above 12 years: 1 tablet twice daily, Below 12 years: Half tablet twice daily or as directed by the physician",628b7d5d2f61643132a89b1f
Patanjali Ayurveda Youvan Churna- 100Gm,250,"Patanjali Divya Youvan Churna is an ayurvedic medicine that is primarily used for the treatment of Weakness, Erectile Dysfunction",178,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295097865_14.png?alt=media&token=image,"Patanjali Ayurveda Youvan Churna- 100Gm, malaria ki dawa, malaria ka ilaaj","Read the label carefully before use, Do not exceed the recommended dose","Ashwagandha, Eucalyptus, Vang bhasma, Jahar mohra bhasma , Behman safed, Butea monosperma",after meal 2.1 gm,628b7d5d2f61643132a89b1f
Himalaya Flora sante Capsule 20,550,Florasante is a gut supplement consisting of room-temperature stable probiotics and a botanical extract. Florasante helps in symptomatic relief from Irritable Bowel Syndrome (IBS) and supports gut health,54,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295169787_15.webp?alt=media&token=image,"Himalaya Flora sante Capsule 20, malaria ki dawa, malaria ka ilaaj","Do not exceed the recommended dose,  take with milk","Probiotics, Barley beta glucan, Bael [Aegle marmelos]","1-2 capsules twice daily, or as directed by your health care professional",628b7d5d2f61643132a89b1f
Himalaya Immusante Tablet-20,72,"Himalaya Immusante Tablet has broad-spectrum antimicrobial, anti-inflammatory, and antioxidant properties. It is recommended for immunotherapeutic support in situations where immunity is compromised",73,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295198538_16.webp?alt=media&token=image,"Himalaya Flora sante Capsule 20, malaria ki dawa, malaria ka ilaaj","Store in a cool, dry place away from direct sunlight, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children","Shanta (Prosopis glandulosa), Lodhra (Symplocos racemosa)",as directed by your physician,628b7d5d2f61643132a89b1f
AYUSH-64 40 Tablets,319,Ayush-64 Tablet provides help in the malarial fevers which have been identified as a distinct clinical condition in Ayurveda from ancient times. CCRS has developed a herbal anti-malarial preparation.,39,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295329343_17.jpg?alt=media&token=image,"AYUSH-64 40 Tablets, dengue ka ilaaj, dengue ki dawa","Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of the children","Saptaparna stem, Katuki Root, Chirayata Whole Plant, Kuberaksha",Use as directed by the physician,628b7d5d2f61643132a89b1f
Nature Sure Agnimantha Weight Loss Formula For Men and Women (60 Capsules,1231,"Made with pure and top-grade natural ingredients, Nature Sure Agnimantha Weight Loss Formula helps reduce weight by improving digestion and increasing frequency of urination",98,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295419329_18.jpg?alt=media&token=image,"Nature Sure Agnimantha Weight Loss Formula For Men and Women (60 Capsules, dengue ka ilaaj, dengue ki dawa","Nature Sure Agnimantha Weight-loss Formula is generally safe for oral consumption by adults in recommended doses, Nature Sure Agnimantha Weight-loss Formula is not recommended for pregnant and lactating women, children and infants","Tecoma undulata, Tephrosia purpurea extract, Phyllanthus niruri extract, Eclipta alba extract, Holarrhena antidysenterica, Glycyrrhiza glabra, Fumaria parviflora extract","If you are on other medication, consult your doctor before taking Agnimantha Weight Loss capsules",628b7d5d2f61643132a89b1f
Platenza tablets - 20tablets,75,Platenza boosts platelet count and reverses the thrombocytopenia (low platelet count) associated with dengue,54,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295494927_19.webp?alt=media&token=image,"Platenza tablets - 20tablets, dengue ki dawa, dengue ka ilaaj","Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep it out of the reach of children","Maricha, Guduchi, Papaya, Bhudhatri",Please consult your physician to prescribe the dosage that best suits the condition,628b7d5d2f61643132a89b1f
Arjuna 60 Tablets,81,"Arjuna is a Ayurvedic herb, well known as a heart tonic, It strengthens heart tissue, improving its performance optimally. Arjuna purifies blood, keeps lipid metabolism under control and helps maintain healthy heart function",78,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295525754_20.jpg?alt=media&token=image,"Arjuna 60 Tablets, hernia, hernia ka ilaaj, hernia ki dawa","consult a healthcare practitioner before use if you are pregnant, nursing, taking medication",Each Arjuna Tablet contains 500 mg of pure Arjuna,"1 to 2 Tablets 2 to 3 times a day with milk or lukewarm water, Please consult your physician to prescribe the dosage that best suits the condition",628b7d5d2f61643132a89b1f
Ayurvedic Hernia Treatment Pack For 30 Days,2723,Hernia Treatment Package is a complete herbal solution for Hernia Problem,39,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295570654_21.jpg?alt=media&token=image,"Ayurvedic Hernia Treatment Pack For 30 Days, hernia ka ilaaj, hernia ki dawa","Decrease or avoid the amount of highly spicy, salty, oily, sweet foodDecrease the intake of excess tea, coffee, cold drinks, soft drinks, and other carbonated beverages, Avoid the addiction, if any.
OUR Product USP","Gokhru, Kaunch, Shatavari, Ashwagandha, Sunthi, dry ginger, Devdaru, Amalki Nisoth",Daily 2 tablets. One in the morning and one in the evening with warm water,628b7d5d2f61643132a89b1f
Zandu Khadiradi Gutika (70Tablets),88.2,"Unique herbal astringent, antiseptic, and expectorant medicin for curing throat disorders. Useful in dental, oral, throat and tonsillar infections",149,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295614428_22.jpg?alt=media&token=image,"Ayurvedic Hernia Treatment Pack For 30 Days, hernia ka ilaaj, hernia ki dawa","consult a healthcare practitioner before use if you are pregnant, nursing, taking medication","Khadira Sar, Pushkara, Kakarshringi, Katphala, Bharangi, Haritaki, Lavanga, Shunthi, Maricha, Pippali, Ativisha, Krishna Jiraka, Yavaksara, Guduchi, Brihati, Kantakari, Bibhitaka.",1 to 4 tablets to be taken in the morning and evening. Not more than 12 tablets in a day,628b7d5d2f61643132a89b1f
Indo German Tonsi Care Tablets 25g,114,Tonsils play a significant role in maintaining the body's immune system. They are ideally situated to scrutinize ingested material and to react to those which pose a threat to the body,51,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295685056_23.jpg?alt=media&token=image,"Indo German Tonsi Care Tablets 25g, tonsil, gale dukhna, gale me dard, gala","Store in a cool dry place away from direct sunlight, Keep it out of the reach of children,  Formula is not recommended for pregnant and lactating women, children and infants","mulethi, haldi, ginger, fenugreek",3 tablets of Indo German Tonsi Care Tablets 3 times a day,628b7d5d2f61643132a89b1f
Patanjali Singhnad Guggul Tablet 40's,28,"Beneficial in chronic rheumatism (arthritis Rimutaid), paralysis stroke, arthritis, tonsils",49,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295746134_24.jpg?alt=media&token=image,"Patanjali Singhnad Guggul Tablet 40's, tonsil, gale dukhna, gale me dard, gala","Best Before-60 Months from Manufacturing Date, Store in a cool dry place away from direct sunlight","Arjun (Terminalia arjuna), Makoy (Solanum nigrum), Punarnava (Boerhaaviadiffusa), Nirgundi (Vitex negundo), Rasna (Pluchealanceolata), Giloy (Tinosporacordifolia), Chitrak (Plumbagozeylanica),Nagarmotha(Cyperusrotundus), Vaividang (Embeliaribes), Harad Chhoti (Terminaliachebula),Ashwagandha,(Withaniasomnifera), PipplaMool(Piperlongum), Dalchini,Cinnamomumzeylanicum), Sangeysav Pishti, Akik Pishti, PravalPishti,Muktashukti Bhasma, Jaharmohra Pishti and Mukta Pishti",As directed by the physician,628b7d5d2f61643132a89b1f
Tonsil Aid Tablets,200,Tonsil aid tablets Sore throat is a inconvenience or suffering in the throat area which makes swallowing very difficult,83,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295773970_25.webp?alt=media&token=image,"Tonsil Aid Tablets, tonsil, gale dukhna, gale me dard, gala","Keep it out of the reach of children, consult a healthcare practitioner before use if you are pregnant, nursing, taking medication","mulethi, haldi, ginger, fenugreek",As prescribed by the doctor,628b7d5d2f61643132a89b1f
Kapiva Lungs Care Juice,495,"Kapiva Lungs Care Juice is loaded with natural Ayurvedic herbs like Noni, Ginger and Fennel Seeds. This juice helps improve lung health while also trying to combat tobacco-induced lung damage",194,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295805353_26.webp?alt=media&token=image,"Kapiva Lungs Care Juice, lungs pain,  fefdo me dard ki dawa, seene me dard ki daa, lungs problems, lung me dard ki dawa","Store in a cool dry place away from direct sunlight, Shake the bottle before use",Ginger and Fennel seeds,"Dilute 30 ml of Lungs Care Juice in a glass of water, Consume twice daily after meals",628b7d5d2f61643132a89b1f
TrueBasics Lung Detox 30 tablet(s),565,TrueBasics Lung Detox may help improve immunity by increasing the multiplication of immune cells like B and T cells,73,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295841720_27.jpg?alt=media&token=image,"TrueBasics Lung Detox 30 tablet(s),   fefdo me dard ki dawa, seene me dard ki daa, lungs problems, lung me dard ki dawa","Shake the bottle before use, Store in a cool dry place away from direct sunlight","Licorice, Quercetin, Vitamin C, Magnesium, Grapeseed Extract, Echinacea, Pine Bar",1 tablet daily after breakfast,628b7d5d2f61643132a89b1f
Lung Detox - 60 Veg Capsules,467,Pure Nutrition Lung Detox supplement is ideal for those looking to improve their lung functions and enhance respiratory health,49,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295880325_28.jpg?alt=media&token=image,"Lung Detox - 60 Veg Capsules, fefdo me dard ki dawa, seene me dard ki daa, lungs problems, lung me dard ki dawa",it is possibly safe when used short-term when pregnant or breast-feeding. Consult with your healthcare provider before using it,"Vasaka Leaves Extract, Elaichi Fruit Extract: Elaichi, Echinacea Extract, Lotus Rhizome Extract, Inula Racemosa Root, Licorice, Ginger, Grape Seed, Stinging Nettle Leaf , Quercetin, Piper nigrum fruit ","Take 1 capsule twice daily after meals or as directed by your
healthcare professional",628b7d5d2f61643132a89b1f
Sunetra Regular,75,Sunetra carries the same function and goodness of tears. Regular use of Sunetra along with eye exercises can provide longevity to the eyes,28,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295906283_29.webp?alt=media&token=image,"Sunetra Regular, eye pain, ankh me dard, ankh ka dukhkna",The nozzle of the bottle should not be touched by hand or with any other material,"jati, padmakar, tulsi,madhu, bhimseni, satapatri jala","For regular use, administer two drops in each eye twice a day. In case of difficulties or minor bacterial infections, use 4 times a day",628b7d5d2f61643132a89b1f
Jiwadaya Entyce - Rose Water Based Cooling Eye Drops - Ayurvedic & Herbal,320,"Ayurvedic, rose water-base makes it cool eye drops. A blend of nature's most effective herbs",58,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653295933504_30.jpg?alt=media&token=image,"Jiwadaya Entyce - Rose Water Based Cooling Eye Drops - Ayurvedic & Herbal, eye pain, ankh me dard, ankh ka dukhkna",The nozzle of the bottle should not be touched by hand or with any other material,"Neem, Tulsi, Bringaraj, Punarnava, Harikati, Amla, Beheda, Daru Haridra, Yesthimadhu, Peppermint Phool, Kapur, Gulab Jal, and Glycerin","1 to 2 drops, 2 to 3 times a day or as per requirement",628b7d5d2f61643132a89b1f
Eye Mantra Eye Drops,64,Divisa Herbal Eye Mantra Eye Drop works as an effective Ayurvedic eye drop for itchy eyes and red eyes. The eye infection drops helps to soothe stressed eyes and relieves burning sensation and irritation in eyes,30,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653296048537_eye drop.jpg?alt=media&token=image,"Aankho m jalan, eye drop,Eye Mantra Eye Drop",Do not exceed the recommended drops,"Rose,Honey,Daruhaldi,Punarnava",2-3 drops thrice a day or as directed by physician,628b7d5d2f61643132a89b1f
Saffola Immuniveda Kadha 50 sachets,143,"Saffola Immuniveda Kadha Mix is a unique Ayurvedic recipe containing ingredients that help in boosting your immunity, support your respiratory health and help relieve cough, cold and sore throat. It is made from a combination of the powerful ingredients of Ayush Kwath, along with 11 carefully selected ayurvedic herbs. Following the traditional process, Ayush Kwath and other herbs are crushed & boiled in water for hours to make into a decoction to harness its benefits",40,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653299942808_Saffola Immuniveda Kadha 50 sachets.jpg?alt=media&token=image,"cold,Saffola Immuniveda Kadha 50 sachets,sardi,zukham",Consult a health professional before using ,"Yestimadhu (Glycyrrhiza glabra St., Rt.) 1.0g, Dalchini (Cinnamonum zeylanicum St. Bk.) 0.25g, Kali Mirch (Piper nigrum Fr.) 0.25g, Haridra (Curcuma longa Rz.) 0.5g, Kantakari (Solanum surattense Wh. Pl.) 1.25g, Kankol (Piper cubeba Dr. Fr.) 1.25g,Vasa (Adhatoda vasica Lf.) 1.25g, Kulanjan (Alpenia galangal Rz.) 1.25g, Sunthi Extract (Zingiber officinale Rz. Ext.) 0.75g, Excipients - Q. S. Approved preservatives - Potassium Sorbate & Sodium benzoate – Q.S",Consume 1 sachet each day or as directed by your physician,628b7d5d2f61643132a89b1f
Saffola Immuniveda Golden Turmeric Milk Mix - Immunity Booster 400 g Jar,299,"Saffola ImmuniVeda Golden Turmeric Milk Mix is an instant mix based on the time-tested immunity boosting recipe ""Haldi-Doodh"". Each serve of this mix has the goodness of 2 spoons of Turmeric, which helps boost immunity and manage inflammation. This healthy drink is enriched with Cardamom, Cinnamon and Black Pepper - is tasty as well. Black Pepper aids in digestion and helps in absorption of turmeric in the body, so you can get all its benefits",50,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300016043_Saffola Immuniveda Golden Turmeric Milk Mix - Immunity Booster 400 g Jar.jpg?alt=media&token=image,"cough,sardi,zukham,Saffola Immuniveda Golden Turmeric Milk Mix - Immunity Booster 400 g Jar","As with any supplement, consult a healthcare practitioner before use if you are pregnant, nursing, taking medication","Each 100 g Powder contains: Haldi powder (Curcuma longa Rz.) 1.60 g, Haldi Extract (Curcuma longa Rz,) 1.50 g, Elaichi Powder (Elettaria cardamomum Fr.) 0.10 g, Elaichi Extract (Elettaria cardamomum Fr.) 0.10 g, Kali Mirch Powder (Piper nigrum Fr.) 0.20 g, Kali Mirch Extract (Piper nigrum Fr.) 0.05 g, Dalchini Extract (Cinnamonum zeylanicum St. Bk.) 0.03 g, Almond flakes (Prunus amygdalus Sd.) 2.60 g. Permitted Excipients Q.S",Take 1 Scoop*(20g) of Saffola Immuniveda Golden Turmeric Milk Mix. (2)Add 200ml of Milk (or water) (3) Mix thoroughly and consume Consume 1-2 times a day or as directed by physician,628b7d5d2f61643132a89b1f
Maha Herbals Fever Peace Tablet,220,"Maha Herbals Fever Peace Tablet is an ayurvedic medicine The correct dosage of Maha Herbals Fever Peace Tablet depends on the patient's age, gender, and medical history. This information has been provided in detail in the dosage section",50,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300095828_Maha Herbals Fever Peace Tablet.jpg?alt=media&token=image,"Maha Herbals Fever Peace Tablet, bukhar, zukham,sardi,cold,flu",you should not take Maha Herbals Fever Peace Tablet unless your doctor advises you to do so ,"Tribhuvankirti (Shashtrokt) 120 mg, Mahasudarshan (Shashtrokt) 190 mg, Godanti Bhasm (Shashtrokt) 40 mg, Abharak Bhasma (Shashtrokt) 40 mg, Vanshalochan (Bambusa arundinacea) 25 mg, Praval Pishti (Shashtrokt) 25 mg, Tulsi Q.S., Saptparna Q.S., Vasa Q.S.,
Babool Gond Q.S., Excipients Q.S",1 to 2 tablets twice a day or as directed by the Physician,628b7d5d2f61643132a89b1f
Deekshant Thyroid Tablets,487,"AMBIC Deekshant Thyroid Care Tablet for Hypothyroidism | Ayurvedic Thyroid Support Supplement I With Goodness of Ashwagandha, Zinc, Kanchnar Guggulu, Haldi, Mulethi",80,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300131836_Deekshant-Thyroid-Care-Tablet.jpg?alt=media&token=image,"Deekshant Thyroid Tablets,thyroid",To be used under the medical advice of your health care professional,"ASHWAGANDHA, SUDDH GODANTI BHASM, TRIKATU, TULSI, HALDI, MULATHI, AROGYAVARDHANI VATI, BAHERA",Take 2 Tablet Twice A Day With Lukewarm Water Or As Directed By Your Physician,628b7d5d2f61643132a89b1f
Shuddhi Thyro Care Package,5500,Shuddhi Thyro Care Package,100,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300162882_Shuddhi Thyro Care Package.jpg?alt=media&token=image,"thyroid,Shuddhi Thyro Care Package",Use as directed by the physician,"Kachnar,Anardana, Sahdevi, Trikatu and TriphalaAshwagandha & Shatavari",As suggested by the Physician,628b7d5d2f61643132a89b1f
Avipattikar Powder for detox and constipation,600,"Avipattikar churna is a common ayurvedic formulation used by people with gastric problems. It is a multi-herbal medication consisting of 14 different ingredients. It is usually used for hyperacidity, indigestion, constipation, piles, anorexia, and urinary retention",50,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300196425_Avipattikar Powder for detox and constipation.webp?alt=media&token=image,"hyperacidity,Avipattikar Powder for detox and constipation",Use as directed by the physician,"Amla, Bibhitaki, Haritaki, Pippali, Marica, Sunti, Musta, Patra, Lavanga, Elaichi, Trivrt, Vida, Vidanga and Sarkara ",Take Avipattikar churna with water twice a day as directed by your ayurvedic doctor for easy digestion and acidity,628b7d5d2f61643132a89b1f
Baidyanath Amlapittantak For Acidity - Pack Of 2 (100 tablets),183,"Baidyanath Amlapittantak Yog is an Ayurvedic medicine mainly used in the treatment of gastritis and dyspepsia. Baidyanath Amlapittantak Yog tablet also acts as an antacid, carminative and appetiser to give relief from acidity",50,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300273098_Baidyanath Amlapittantak For Acidity - Pack Of 2 (100 tablets).webp?alt=media&token=image,Baidyanath Amlapittantak For Acidity - Pack Of 2 (100 tablets),Use as directed by the physician,"Saunth, Mirach, Pipal Harre, Bahera, Nagarmothaa, Vivadang, Lavang, Mukta Shukta Bhasma",Use as directed by the physician,628b7d5d2f61643132a89b1f
"Baidyanath (Jhansi) Granules Isabbael Herbal-100gm, BP Care Juice - with 10 potent herbs",138,"It is used for intestinal amebiasis flatulence,dyspepsia,bacillary,dysentery,etc",20,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300319863_baidyanath-isabbael-granules-100-gm-500x500.jpg?alt=media&token=image,"Baidyanath (Jhansi) Granules Isabbael Herbal-100gm, BP Care Juice - with 10 potent herbs,diarrhea,loose motion",Use as directed by the physician,"isabgol,bilva,kutaj chhal,saunf,dhania,indra jau,nagarmotha,soanth",Use as directed by the physician,628b7d5d2f61643132a89b1f
